iter,x,y,x_inside,sns_valid,sns_type,π_classic,π_sns
1,0.6293451231426089,0.4503389405961936,true,true,both_ends,4.0,4.0
2,0.47740714343281776,0.7031298490032014,true,true,both_ends,4.0,4.0
3,0.6733461456394962,0.16589443479313404,true,true,both_ends,4.0,4.0
4,0.6134782250008441,0.6683403279577278,true,true,both_ends,4.0,4.0
5,0.4570310908017041,0.2993652953937611,true,true,both_ends,4.0,4.0
6,0.6611433726193705,0.6394313620423493,true,true,both_ends,4.0,4.0
7,0.34264792290134793,0.2678704383989201,true,true,both_ends,4.0,4.0
8,0.515871408349502,0.09002301604339691,true,true,both_ends,4.0,4.0
9,0.27265744579429385,0.191562202596938,true,true,both_ends,4.0,4.0
10,0.4235912564725989,0.4847023673932017,true,true,both_ends,4.0,4.0
11,0.08057685880656873,0.515351366509528,true,true,both_ends,4.0,4.0
12,0.19650886681273116,0.6005123652935154,true,true,both_ends,4.0,4.0
13,0.39770669886798293,0.3159294604248214,true,true,both_ends,4.0,4.0
14,0.4341268471846975,0.8586747334564407,true,true,both_ends,4.0,4.0
15,0.3196316787127417,0.5636653686397767,true,true,both_ends,4.0,4.0
16,0.3219101922927511,0.15791906602724803,true,true,both_ends,4.0,4.0
17,0.7219827350406843,0.3723466293304377,true,true,both_ends,4.0,4.0
18,0.030185550039208087,0.07933388944734077,true,true,both_ends,4.0,4.0
19,0.6637579955379869,0.49205817172341115,true,true,both_ends,4.0,4.0
20,0.7132263076284362,0.16546084725438126,true,true,both_ends,4.0,4.0
21,0.5272456889016257,0.46270999577017524,true,true,both_ends,4.0,4.0
22,0.8539009571180256,0.17376278243921273,true,true,both_ends,4.0,4.0
23,0.2961798562577662,0.9996851103236141,false,true,both_ends,3.8260869565217392,3.8260869565217392
24,0.3560771717464667,0.7314774379355179,true,true,both_ends,3.8333333333333335,3.8333333333333335
25,0.7573124834313315,0.6191737590389158,true,true,both_ends,3.84,3.84
26,0.27954197009573767,0.3201287865461063,true,true,both_ends,3.8461538461538463,3.8461538461538463
27,0.5484002542407093,0.6198420745581052,true,true,both_ends,3.8518518518518516,3.8518518518518516
28,0.34476325694907894,0.11156876576082264,true,true,both_ends,3.857142857142857,3.857142857142857
29,0.08123301742861022,0.8350006721642573,true,true,both_ends,3.8620689655172415,3.8620689655172415
30,0.9548792528653566,0.21871747045704193,true,true,both_ends,3.8666666666666667,3.8666666666666667
